,Nimero,                Descripcin, Cidigo,Existencia,unidad, Ultima modificaciin
177,01 43 023 0720, 90 BIHD-M 720 mm.,  90BIHDM720,0.0,kg,    ANA      17/10/02 10:16
178,01 43 023 9900, 90 BIHD-M Varias Medidas,  90BIHDMV,0.0,kg,    ANA      17/10/02 10:16
179,01 48 015 0520, Bopa 15 Micras 520 mm,  PA15520,0.0,kg,    BEATRIZ  10/09/09 12:59
180,01 48 015 0521, Bopa 15 micras 520 mm reducido,  SPA15520,204.6,kg,    BEATRIZ  21/03/18 10:51
181,01 48 015 0620, Bopa 15 Micras 620 mm,  PA15620,1106.8,kg,    BEATRIZ  10/09/09 12:59
182,01 48 015 0720, Bopa 15 micras 720 mm.,  PA15720,0.0,kg,    PACO     14/03/06 14:25
183,01 48 015 0721, Bopa 15 Micras 720 mm reducido,  SPA15720,0.0,kg,    BEATRIZ  21/03/18 10:52
184,01 48 015 0760, Bopa 15 micras 760 mm,  PA15760,0.0,kg,    BEATRIZ  07/02/11  8:50
185,01 48 015 9900, Bopa 15 Micras Varias Medidas,  PA15V,173.2,kg,    BEATRIZ  28/01/09 11:39
186,01 49 015 0660, Bopa Metalizado 15 micras 660 mm,  PAMET15660,0.0,kg,    BEATRIZ  13/01/10 13:12
187,01 50 015 9900, Polivac Varias Medidas,  POLIVAC,0.0,kg,    BEATRIZ  28/07/11 15:54
188,01 51 080 0520, Bopa/PE 80 micras 520 mm,  PAPE80520,0.0,kg,    CLEON    29/09/17 16:15
189,01 51 100 0660, Bopa/EVOH/PE 100 micras 660 mm,  PAEVOHPE100660,9.6,kg,    CLEON    29/09/17 16:17
190,01 51 120 0660, Bopa/EVOH/PP 120 micras 660 mm,  PAEVOHPP120660,47.6,kg,    CLEON    29/09/17 16:19
191,01 60 040 0800, Papel Rocalonde 40 gr/m2 800 mm.,  PAP40800,235.0,kg,    ANA      17/10/02 10:17
192,01 60 052 0740, Papel Bond 63 gr/m2 740 mm,  PAP63740,63.45,kg,    PACO     27/09/05 16:16
193,01 60 052 9900, Papel Bond 63 Varias Medidas,  PAP63V,0.0,kg,    BEATRIZ  28/01/09 11:40
194,01 60 055 0001, Papel Afiche 60grs 740 mm,  PAFIC60740,31.2,kg,    SMARCA   15/01/15 11:47
195,01 60 055 0370, Papel Afiche 60 grs 370 mm,  PAFIC60370,0.0,kg,    BEATRIZ  27/11/09 15:42
196,01 60 062 0630, Papel/Aluminio/LDPE 630 mm,  PAP40/AL9/630M,1145.9,kg,    BEATRIZ  08/11/12 11:05
197,01 60 062 0660, Papel/Aluminio/LDPE 660 mm,  PAP40/AL9/PELD,0.0,kg,    BEATRIZ  23/06/09  9:15
198,01 60 062 0740, Papel/Aluminio/LDPE 740 mm,  PAP40/AL9/740,0.0,kg,    CLEON    09/11/17 16:11
199,01 60 062 5074, Papel50/Aluminio/LDPE 740 mm,  PAP50/AL9/740,115.2,kg,    CLEON    09/11/17 16:16
200,01 60 062 9900, Papel/Aluminio/LDPE Varias medidas,  PAP40/AL9/VAR,0.0,kg,    CLEON    01/11/17  9:36
201,01 60 063 0620, Papel revestido 4010- 620mm,  PAP40/PE10/620,0.0,kg,    BEATRIZ  10/06/13 15:46
202,01 60 063 0700, Papel Revestido 4020-700mm,  PAP40/PE20/700,18.2,kg,    BEATRIZ  12/11/14 18:07
203,01 60 063 0740, Papel Revestido 4020-740mm,  PAP40/PE20/740,373.0,kg,    CLEON    17/08/17 17:56
204,01 60 063 0770, Papel Revestido 4010 - 770 mm,  PAP40\PE10\770,1688.2,kg,    BEATRIZ  31/01/14 14:08
205,01 60 063 9900, Papel Revestido 4020 Varias medidas,  PAP40/PE20/VAR,0.0,kg,    CLEON    01/11/17  9:37
206,03 01 001 0001, Parafina para Papel,  TERM1595,5880.0,kg,    ANA      17/10/02 10:19
207,03 04 011 0010, Masterbach Blanco,  MB01,133.5,kg,    ANA      17/10/02 10:29
